Epoch,train_Loss,val_Loss,time,Ro,qMax
0   ,0.07662,0.05508,7.64199   ,0.00999,1.40499
100 ,0.05752,0.04446,774.01333 ,0.00906,1.66282
200 ,0.05691,0.04345,1539.68745,0.01001,1.87658
300 ,0.05664,0.04262,2313.09658,0.01061,2.03714
400 ,0.05651,0.04253,3085.61443,0.01102,2.16137
500 ,0.05643,0.04249,3846.83656,0.01131,2.25932
600 ,0.05639,0.04240,4611.62287,0.01154,2.33794
700 ,0.05637,0.04239,5375.52705,0.01170,2.39941
800 ,0.05636,0.04232,6138.98485,0.01184,2.44887
900 ,0.05635,0.04231,6903.22809,0.01194,2.48797
1000,0.05637,0.04234,10.1503498,0.00701,2.52332
